id_publication;date_pub;article_title;categorie;nbr_authors
tr/ibm/LILOGM2;2017-06-08;Zur Systemarchitektur von LILOG;article;1
tr/ibm/LILOG61;2017-06-08;Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG;article;2
tr/ibm/LILOG53;2017-06-08;Definite Resolution over Constraint Languages;article;2
tr/ibm/LILOGM9;2017-06-08;Dokumentation der Syntax der LILOG-Grammatik;article;1
tr/ibm/LILOG45;2017-06-08;Cognitive Linguistics: The Processing of Spatial Concepts;article;1
tr/ibm/LILOG56;2017-06-08;LILOG-DB: Database Support for Knowledge-Based Systems;article;5
tr/ibm/IWBS201;2017-06-08;Differential Closure Computation for General Horn-Clause Queries;article;3
tr/ibm/G320-6590;2017-06-08;SQL/Data System for VSE: A Relational Data System for Application Development.;article;0
tr/ibm/IWBS111;2017-06-08;A Logical Operational Semantics of Full Prolog;article;1
tr/ibm/LILOG60;2017-06-08;Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte;article;1
tr/ibm/IWBS228;2017-06-08;How could a good system of practical NLP look like?;article;1
tr/ibm/IWBS188;2017-06-08;Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers;article;1
tr/ibm/IWBS87;2017-06-08;Attribute Inheritance Implemented on Top of a Relational Database System;article;1
tr/ibm/IWBS177;2017-06-08;LMT - Machine Translation Demonstration;article;1
tr/ibm/LILOG3;2017-06-08;Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment;article;2
tr/ibm/IWBS154;2017-06-08;Sort Processing in a Deductive Database System;article;3
tr/ibm/IWBS150;2017-06-08;EFTA: A Database Retrieval Algebra for Feature Terms;article;2
tr/ibm/IWBS165;2017-06-08;Knowledge in Operation;article;2
tr/ibm/IWBS163;2017-06-08;An Overview on Planning Applications in PROTOS-L;article;1
tr/ibm/LILOG34;2017-06-08;Über Ansätze zur Darstellung von Konzepten und Prototypen;article;1
tr/ibm/IWBS68;2017-06-08;Attributive Concept Descriptions with Unions and Complements;article;2
tr/ibm/IWBS166;2017-06-08;Ein praktischer Algorithmus für die E-Unifikation;article;1
tr/ibm/LILOG5;2017-06-08;Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache;article;1
tr/ibm/IWBS126;2017-06-08;The Institute for Knowledge Based Systems in the IBM Germany Scientific Center;article;1
tr/ibm/IWBS208;2017-06-08;Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser;article;1
tr/ibm/IWBS89;2017-06-08;PROTOS-L: Towards a Knowledge Base Programming Language;article;2
tr/ibm/IWBS212;2017-06-08;Syntaktische Informationseinheiten zu deutschen Adjektiven;article;1
tr/ibm/LILOG37;2017-06-08;On the Interpretation of Equality, Sorts, and Logic Programming;article;2
tr/ibm/IWBS237;2017-06-08;DInG - ein Domänen-orientierter Inkrementeller und Integrierter Generator für kohärente Texte;article;1
tr/ibm/IWBS180;2017-06-08;Prozedurale Semantik. Repräsentation der Sprechergegenwart.;article;1
tr/ibm/LILOGM8;2017-06-08;Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung;article;4
tr/ibm/IWBS220;2017-06-08;"""Dictionary Dialog"" - Entwurf des Funktionsumfangs für eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten Übersetzungssystems und prototypische Erstellung der Bildschirmfolge für die Funktion ""Semantische Relation""";article;1
tr/ibm/LILOGM4;2017-06-08;Zur Behandlung komplexer Objekte in LILOG;article;1
tr/ibm/LILOG26;2017-06-08;Computational aspects of three-valued logic;article;1
tr/ibm/LILOG38;2017-06-08;Semantics of Logic Programs with Equational Abstract Data Type Specifications;article;2
tr/ibm/IWBS157;2017-06-08;Processing Spatial Knowledge in LILOG;article;1
tr/ibm/IWBS231;2017-06-08;A Reusable Lexical Database Tool for Machine Translation;article;3
tr/ibm/IWBS146;2017-06-08;Der Lambek-Kalkül. Eine Logik für lexikalische Grammatiken;article;1
tr/ibm/IWBS199;2017-06-08;Parenthetische Konstruktionen des Deutschen.;article;1
tr/ibm/IWBS241;2017-06-08;Symmetric Coordination: An Alternative Theory of Phrase Structure;article;1
tr/ibm/LILOG8;2017-06-08;An Approach to Manage Large Inheritance Networks;article;2
tr/ibm/IWBS159;2017-06-08;On the Problem of Masking Special Errors by Serial Signature Analysis;article;1
tr/ibm/LILOG27;2017-06-08;Eine dreiwertige Logik zur Verarbeitung partieller Information;article;1
tr/ibm/IWBS132;2017-06-08;An Inference Engine for Function Free Logic Programs;article;1
tr/ibm/IWBS190;2017-06-08;Aspekte der Generierung von Wegbeschreibungen;article;1
tr/ibm/IWBS114;2017-06-08;Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks;article;2
tr/ibm/IWBS144;2017-06-08;A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras;article;2
tr/ibm/IWBS83;2017-06-08;Subsumtion für eine erweiterte attributive Sortenbeschreibungssprache;article;1
tr/ibm/IWBS121;2017-06-08;Mathematische Grundlagen der formalen Linguistik - Ein Kompendium;article;1
tr/ibm/LILOG29;2017-06-08;Die Struktur des Lexikons für LILOG;article;3
tr/ibm/IWBS130;2017-06-08;Die Konzeption des EXCEPT-Systems: Ein Überblick;article;3
tr/ibm/IWBS210;2017-06-08;"Richtungsangabe oder Wegkonnektor? Rämliches ""Zurück"" und seine Semantik";article;1
tr/ibm/LILOG19;2017-06-08;Vorüberlegungen zur depiktionalen Repräsentation räumlichen Wissens;article;1
tr/ibm/IWBS135;2017-06-08;Fully Persistent B;article;2
tr/ibm/LILOG11;2017-06-08;Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?;article;1
tr/ibm/RJ2772;2020-02-21;Database Snapshots.;article;2
tr/ibm/LILOG23;2017-06-08;"At Ease with ""AT""";article;1
tr/ibm/LILOG10;2017-06-08;Datenbankunterstützung für wissensbasierte Systeme;article;1
tr/ibm/IWBS171;2017-06-08;Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke;article;3
tr/ibm/IWBS162;2017-06-08;Temporales Schließen in einem natürlichsprachlichen System;article;1
tr/ibm/IWBS91;2017-06-08;Zur intelligenten Organisation von Wissensbeständen in künstlichen Systemen;article;1
tr/ibm/LILOG7;2017-06-08;The Semantics of Asserting and Retracting Clauses to Logic Programs;article;2
tr/ibm/IWBS205;2017-06-08;Correctness Proof for the WAM;article;2
tr/ibm/LILOG13;2017-06-08;Word Order and Focus Projection;article;2
tr/ibm/IWBS106;2017-06-08;KL-ONE: Eine Einführung;article;1
tr/ibm/IWBS134;2017-06-08;Improving the Concurrency of Integrity Checks and Write Operations;article;1
tr/ibm/IWBS96;2017-06-08;Über Vergleichskonstruktionen;article;1
tr/ibm/IWBS192;2017-06-08;Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht;article;1
tr/ibm/IWBS107;2017-06-08;Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte;article;2
tr/ibm/IWBS112;2017-06-08;Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschuß 1.5, 29.-30. März 1990, Heidelberg;article;0
tr/ibm/IWBS167;2017-06-08;An Environment for Experimentation with Parsing Strategies;article;1
tr/ibm/LILOG50;2017-06-08;Logisches Clustering von PROTOS-L Prozeduren;article;1
tr/ibm/IWBS232;2017-06-08;Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT;article;4
tr/ibm/IWBS182;2017-06-08;A Model Elimination Calculus for Generalized Clauses;article;1
tr/ibm/IWBS189;2017-06-08;Quantitative Analysen zu Wörterbüchern;article;2
tr/ibm/IWBS169;2017-06-08;Lexical Representation of Idioms;article;1
tr/ibm/IWBS156;2017-06-08;The LILOG Knowledge Representation System;article;2
tr/ibm/IWBS223;2017-06-08;Mengenkonzepte in Unifikationsgrammatiken;article;1
tr/ibm/RJ1200;2020-02-21;The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.;article;4
tr/ibm/IWBS221;2017-06-08;On the Treatment of Compounds in Machine Translation. A Study;article;1
tr/ibm/IWBS138;2017-06-08;Position und Bewegung: Zur Semantik lokaler Verben;article;1
tr/ibm/IWBS217;2017-06-08;Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie;article;1
tr/ibm/IWBS200;2017-06-08;A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof;article;2
tr/ibm/IWBS178;2017-06-08;Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.;article;1
tr/ibm/IWBS195;2017-06-08;Umweltbewertung mit EXCEPT: Darstellung aus ökologischer Sicht;article;0
tr/ibm/IWBS84;2017-06-08;Lernverfahren zur Vervollständigung von Hornklauselmengen durch inverse Resolution;article;1
tr/ibm/IWBS170;2017-06-08;Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.;article;1
tr/ibm/LILOG35;2017-06-08;"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ansätze";article;1
tr/ibm/LILOGM5;2017-06-08;Standards für das Programmieren in Prolog für LILOG, Version 2.0;article;1
tr/ibm/IWBS202;2017-06-08;The Term Retrieval Abstract Machine;article;1
tr/ibm/IWBS224;2017-06-08;Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen;article;2
tr/ibm/IWBS93;2017-06-08;Feature Constraint Logics for Unification Grammars;article;1
tr/ibm/LILOGM3;2017-06-08;Ein Transaktionskonzept für LILOG;article;1
tr/ibm/IWBS124;2017-09-22;Disjunctive Unification;article;2
tr/ibm/LILOG43;2017-06-08;Ereignisse und Repräsentationen;article;1
tr/ibm/IWBS234;2017-06-08;On the Role of Reasoning about Change in the Projection of Presuppositions;article;1
tr/ibm/IWBS115;2017-06-08;A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations;article;1
tr/ibm/IWBS102;2017-06-08;A Brief Overlook of LILOG-DB;article;1
tr/ibm/IWBS198;2017-06-08;Leistungsanalyse des Datenbanksystems LILOG-DB;article;1
tr/ibm/RJ2144;2020-02-21;RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.;article;5
tr/ibm/IWBS194;2017-06-08;Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.;article;1
tr/ibm/IWBS108;2017-06-08;Tableau Calculus for Order Sorted Logic;article;2
tr/ibm/LILOGM6;2017-06-08;Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln;article;1
tr/ibm/IWBS99;2017-06-08;Sort-Lattice Management in LILOG-DB;article;1
tr/ibm/IWBS153;2017-06-08;Sorted Feature Terms and Relational Dependencies;article;2
tr/ibm/IWBS72;2017-06-08;Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype;article;3
tr/ibm/IWBS70;2017-06-08;Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen;article;2
tr/ibm/LILOG30;2017-06-08;Wissensbasisverwaltung für LILOG;article;2
tr/ibm/IWBS80;2017-06-08;How to Fit the Lambek Calculus into the Chomsky Hierarchy;article;1
tr/ibm/IWBS92;2017-06-08;Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation;article;1
tr/ibm/IWBS110;2017-06-08;Strategien zur Pronominalisierung;article;1
tr/ibm/RJ2736;2020-02-21;Index Path Length Evaluation for the Research Storage System of System R.;article;2
tr/ibm/IWBS213;2017-06-08;"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben";article;1
tr/ibm/LILOG46;2017-06-08;Operationen in erweiterten Typunifikationsformalismen;article;1
tr/ibm/LILOGM11;2017-06-08;WebS - ein System zur Generierung von Wegbeschreibungen;article;1
tr/ibm/IWBS233;2017-06-08;Statistische Untersuchungen an einsprachigen Zeitungstexten;article;1
tr/ibm/IWBS184;2017-06-08;International Workshop on Terminological Logics - Proceedings;article;0
tr/ibm/LILOG1a;2017-06-08;LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung;article;1,1
tr/ibm/LILOG6;2017-06-08;Mathematical Logic and Artificial Intelligence;article;1
tr/ibm/IWBS214;2017-06-08;Syntaktische Merkmale deutsche Substantive;article;1
tr/ibm/IWBS158;2017-06-08;Die Behandlung von mehrdeutigen Verben in der Maschinellen Übersetzung;article;1
tr/ibm/IWBS215;2017-06-08;Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung;article;1
tr/ibm/IWBS140;2017-06-08;Stepwise Software Development with Algebraic Specifications;article;2
tr/ibm/IWBS88;2017-06-08;Types, Modules and Databases in the Logic Programming Language PROTOS-L;article;1
tr/ibm/LILOG41;2017-06-08;The Knowledge Representation Language L;article;6
tr/ibm/LILOG14;2017-06-08;Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen;article;1
tr/ibm/IWBS168;2017-06-08;The Stuttgart Type Unification Formalism - User Manual;article;2
tr/ibm/IWBS119;2017-06-08;Lokale Verben und Präpositionen: Semantische und konzeptuelle Verarbeitung in LEU II;article;1
tr/ibm/IWBS193;2017-06-08;ILFA Interface Concept;article;3
tr/ibm/RJ2555;2020-02-21;Transactions and Consistency in Distributed Database Systems.;article;4
tr/ibm/IWBS90;2017-06-08;Knowledge Representation in LILOG;article;2
tr/ibm/IWBS117;2017-06-08;A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output;article;1
tr/ibm/IWBS222;2017-06-08;Using Knowledge-Based Methods to Administrate an Access Control System;article;2
tr/ibm/IWBS211;2017-06-08;Zur Verarbeitung von Lokalisierungsausdrücken in einem hybriden System;article;1
tr/ibm/IWBS85;2017-06-08;Integration von Constraints in die L;article;1
tr/ibm/LILOG20;2017-06-08;Mentale Bilder und Wegbedeutungen;article;1
tr/ibm/IWBS73;2017-06-08;Pluralbehandlung in natürlichsprachlichen Wissensverabeitungssystemen;article;1
tr/ibm/IWBS113;2017-06-08;An Order-Sorted Logic for Knowledge Representation Systems;article;5
tr/ibm/IWBS152;2017-06-08;Incremental Vocabulary Extensions in Text Understanding Systems;article;1
tr/ibm/IWBS179;2017-06-08;Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning;article;1
tr/ibm/IWBS71;2017-06-08;Database Support for the PROTOS-L System;article;2
tr/ibm/IWBS187;2017-06-08;Anaphora Resolution for Machine Translation: A Study;article;1
tr/ibm/IWBS74;2017-06-08;Koordination von nichtverbalen Satzkonstituenten;article;1
tr/ibm/IWBS103;2017-06-08;The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report;article;1
tr/ibm/LILOG2;2017-06-08;A Conceptual Model for Time;article;1
tr/ibm/LILOGM1;2017-06-08;Standards für das Programmieren in Prolog für LILOG, Version 1.0;article;1
tr/ibm/LILOG42;2017-06-08;Qualitätssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung;article;3
tr/ibm/LILOG39;2017-06-08;Feature Graphs and Abstract Data Types: A Unifying Approach;article;2
tr/ibm/IWBS227;2017-06-08;The Many-Valued Theorem Prover ;article;4
tr/ibm/IWBS129;2017-06-08;Rekonstruktion von Hintergrundwissen für ein wissensbasiertes textverstehendes System;article;1
tr/ibm/LILOG33;2017-06-08;A Feature Logic with Subsorts;article;1
tr/ibm/IWBS175;2017-06-08;Draft Report of the Logic Programming Language PROTOS-L;article;3
tr/ibm/LILOG58;2017-06-08;EFTA: An Algebra for Deductive Retrieval of Feature Terms;article;1
tr/ibm/IWBS98;2017-06-08;EFTA Query Processing in LILOG-DB;article;1
tr/ibm/IWBS183;2017-06-08;A Polynomial Method for Finding Irregularities in Large Example Sets;article;1
tr/ibm/IWBS104;2017-06-08;Compilation of Complex DATALOG with Stratified Negation;article;1
tr/ibm/IWBS122;2017-06-08;Interaktion von propositionalen und bildhaften Repräsentationen;article;1
tr/ibm/IWBS86;2017-06-08;An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information;article;4
tr/ibm/G320-2096;2020-02-21;XRM - An Extended (N-ary) Relational Memory.;article;1
tr/ibm/IWBS81;2017-06-08;Representation and Reasoning with Attributive Descriptions;article;2
tr/ibm/IWBS164;2017-06-08;Untersuchungen zum Grundwortschatz;article;1
tr/ibm/IWBS139;2017-06-08;Ein modularer Ansatz für prinzipienbasiertes Parsing;article;1
tr/ibm/IWBS67;2017-06-08;Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Prädikatenlogik erster Stufe;article;1
tr/ibm/IWBS109;2017-06-08;OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space;article;2
tr/ibm/IWBS181;2017-06-08;Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution;article;3
tr/ibm/LILOG25;2017-06-08;Textunderstanding in LILOG - Sorts and Reference Objects;article;4
tr/ibm/GH24-5013;2017-06-08;SQL/Data System, Conpects and Facilities.;article;0
tr/ibm/IWBS235;2017-06-08;Derivationsmorphologie in einem Übersetzungssystem;article;1
tr/ibm/LILOG17;2017-06-08;Prozedurale Aspekte der Wegplanung und Wegbeschreibung;article;1
tr/ibm/IWBS145;2017-06-08;"Projekt ""Elektronische Wörterbücher/Lexika"": Abschlußbericht der Definitionsphase";article;2
tr/ibm/LILOG57;2017-06-08;FLL: A First-Order Language for Deductive Retrieval of Feature Terms;article;1
tr/ibm/LILOG51;2017-06-08;Resolution with Feature Unification;article;2
tr/ibm/IWBS123;2017-06-08;Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern;article;1
tr/ibm/IWBS125;2017-06-08;Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung;article;7
tr/ibm/IWBS218;2017-06-08;Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank für die maschinelle Übersetzung;article;1
tr/ibm/IWBS95;2017-06-08;A Calculus for Order-Sorted Predicate Logic with Sort Literals;article;2
tr/ibm/IWBS219;2017-06-08;Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken;article;3
tr/ibm/IWBS176;2017-06-08;Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache;article;1
tr/ibm/IWBS97;2017-06-08;On Subsumption and Semiunifaction in Feature Algebras;article;2
tr/ibm/IWBS69;2017-06-08;A Knowledge Level Analysis of Belief Revision;article;1
tr/ibm/LILOG44;2017-06-08;An Effective Representation of Complex Clauses in a Relational Database;article;1
tr/ibm/IWBS209;2017-06-08;Prolog and Natural Language Processing;article;2
tr/ibm/IWBS172;2017-06-08;An Anaphora Resolution Procedure for Machine Translation;article;2
tr/ibm/IWBS137;2017-06-08;Natural Language Understanding in LILOG: An Intermediate Overview;article;1
tr/ibm/LILOGM12;2017-06-08;Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools für das Testen von Ansätzen für die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept;article;1
tr/ibm/IWBS149;2017-06-08;Modeling Structured Open Worlds in a Database System: The FLL-Approach;article;1
tr/ibm/IWBS141;2017-06-08;Integrating a Deductive Database System with a Warren Abstract Machine;article;1
tr/ibm/IWBS196;2017-06-08;Ein neuer Ansatz zur Integration unterschiedlicher lexikalischer Resourcen;article;2
tr/ibm/IWBS206;2017-06-08;Expressing Linguistic Knowledge in STUF '91;article;1
tr/ibm/LILOG9;2017-06-08;Zeit und Aspekt bei der Verarbeitung natürlicher Sprachen;article;1
tr/ibm/IWBS136;2017-06-08;Spezifikation eines Theorembeweisers für dreiwertige First-Order Logik.;article;1
tr/ibm/IWBS148;2017-06-08;Über die W's der Textgenerierung: Was, wofür, wo und wie: Wissensbasierte Generierung von informierenden Texten in einem Auskunftssystem;article;1
tr/ibm/LILOG36;2017-06-08;Integrating Model Theoretic and Proof Theoretic Interpretation of Logic Programs;article;1
tr/ibm/IWBS226;2017-06-08;THOR - A System for Computing in Equational Theories;article;1
tr/ibm/IWBS131;2017-06-08;Syntactic Processing of Unknown Words;article;1
tr/ibm/LILOG47;2017-06-08;Verträglichkeitsprüfungen für die Verarbeitung räumlichen Wissens;article;1
tr/ibm/IWBS174;2017-06-08;Mathematische Grundlagen der formalen Linguistik - Ein Kompendium;article;1
tr/ibm/IWBS128;2017-06-08;A Tool Kit for Knowledge Based Production Planning Systems;article;1
tr/ibm/IWBS127;2017-06-08;Wortbedeutungen und lexikalische Repräsentationen;article;1
tr/ibm/IWBS230;2017-06-08;Semantische Repräsentation von Plural-Phänomenen;article;1
tr/ibm/IWBS204;2017-06-08;Results on Non-Monotonic Logics.;article;1
tr/ibm/IWBS147;2017-06-08;Modelling Spatial Knowledge on a Linguistic Basis;article;3
tr/ibm/IWBS173;2017-06-08;Modularizing Knowledge in LILOG;article;1
tr/ibm/IWBS105;2017-06-08;Rule Rewriting Techniken zur globalen Optimierung von FLL-Programmen;article;2
tr/ibm/IWBS161;2017-06-08;Variable Subkategorisierung: Eine Theorie unpersönlicher Einbettungen im Deutschen;article;1
tr/ibm/IWBS185;2017-06-08;Presupposition, Anaphora, and Lexical Content.;article;2
tr/ibm/IWBS118;2017-06-08;Development and Programming of Deductive Databases with PROTOS-L;article;1
tr/ibm/RJ1579;2020-02-21;A Shared Segment and Interprocess Communication Facility for VM/370;article;2
tr/ibm/IWBS186;2017-06-08;ICL - An Integrity Control Language: Konzeption und Implementierung einer formalen Sprache zur Integritätskontrolle von Wissensbasen;article;1
tr/ibm/IWBS94;2017-06-08;The Algebra of Feature Graph Specifications;article;2
tr/ibm/GH24-5012;2017-06-08;SQL/Data System, General Information Manual.;article;0
tr/ibm/IWBS133;2017-06-08;A Persistent Store for Large Shared Knowledge Bases;article;4
tr/ibm/LILOG24;2017-06-08;Representation and Accessibility of Discourse Referents;article;1
tr/ibm/LILOG18;2017-06-08;Gebietskonstituierende Prozesse;article;2
tr/ibm/RJ2274;2020-02-21;Slide Search.;article;3
tr/ibm/IWBS143;2017-06-08;Complexity of Logical Decision Problems: An Introduction;article;1
tr/ibm/LILOG28;2017-06-08;Weiterentwicklung des Earley-Algorithmus für kontextfreie und ID/LP-Grammatiken;article;1
tr/ibm/IWBS82;2017-06-08;Terminological Reasoning is Inherently Intractable;article;1
tr/ibm/IWBS229;2017-06-08;Graph Based Extension of the LILOG Inference Engine;article;2
tr/ibm/IWBS66;2017-06-08;Verarbeitung natürlicher Sprache;article;1
tr/ibm/LILOG31;2017-06-08;A Model for Discourse Particles;article;1
tr/ibm/LILOG22;2017-06-08;Chart-Parsing of Unification-Based Grammars with ID/LP-Rules;article;1
tr/ibm/IWBS203;2017-06-08;Transitive Closure: New Aspects of an Old Theme;article;1
tr/ibm/LILOG12;2017-06-08;On Structuring Domain-Specific Knowledge;article;1
tr/ibm/LILOG32;2017-06-08;Die Sloppy/Referenzielle Ambiguität: Bildungssyntax oder Diskursrepräsentationstheorie?;article;2
tr/ibm/LILOGM14;2017-06-08;Standards für das Programmieren in Prolog für LILOG, Version 3.3;article;1
tr/ibm/LILOGM10;2017-06-08;LILOG Prototype I Grammar Documentation: Semantics;article;1
tr/ibm/IWBS151;2017-06-08;Datenbankkonzepte für wissensbasierte Systeme;article;1
tr/ibm/RJ1318;2020-02-21;Using a Structured English Query Language as a Data Definition Facility.;article;2
tr/ibm/RJ2598;2020-02-21;The Compilation of a High Level Data Language.;article;2
tr/ibm/IWBS207;2017-06-08;Ein Lernverfahren für den automatischen Erwerb von Kontrollwissen;article;1
tr/trier/MI98-14;2017-06-08;Stability Analysis of Wireless Networks;article;1
tr/trier/MI99-26;2017-06-08;Finding Scientific Papers with HPSearch and MOPS;article;2
tr/trier/MI96-16;2017-06-08;A Modified Mesh Independence Principle of Newton's Method;article;1
tr/trier/MI01-21;2017-06-08;VisBDD - A Webbased Visualization Framework for OBDD Algorithms;article;3
tr/trier/MI98-06;2017-06-08;On Boolean vs. Modular Arithmetic for Circuits and Communication Protocols;article;1
tr/trier/MI96-32;2017-06-08;A Parametric View to the Mangasarian-Fromovitz Constraint Qualification;article;1
tr/trier/MI94-10;2017-06-08;A Decomposition Method in Nonconvex Mixed-Integer Programming;article;1
tr/trier/MI00-01;2017-06-08;Trust Region Methods for Solving the Optimal Output Feedback Design Problem;article;2
tr/trier/MI97-24;2017-06-08;A Decomposition Method Using Duality Bounds for Nonconvex Optimization;article;1
tr/trier/MI97-09;2017-06-08;Nonuniform Grids for Reduced Basis Design of Low Order Feedback Controllers for Nonlinear Continuous Systems;article;1
tr/trier/MI99-12;2019-05-27;Approximation of the Newton Step by a Defect Correction Process;article;3
tr/trier/MI92-26;2017-06-08;Polytope Containment and Determination by Linear Probes;article;3
tr/trier/MI98-07;2017-06-08;On Markovian Spatial Arrival Processes for the Performance Analysis of Mobile Communication Networks;article;1
tr/trier/MI96-22;2017-06-08;Convolution Algorithms for BMAP/G/1-Queues;article;1
